query_id,text,text_de,text_it,text_fr
1,"measurement of dielectric constant of liquids by the use of microwave techniques
",Messung der Dielektrizitätskonstante von Flüssigkeiten durch Verwendung von Mikrowellentechniken,misurazione della costante dielettrica dei liquidi mediante l'uso di tecniche a microonde,mesure de la constante diélectrique des liquides par l'utilisation de techniques de micro-ondes
2,"mathematical analysis and design details of waveguide fed microwave radiations
",mathematische Analyse und Konstruktionsdetails von Wellenleiter-gefütterten Mikrowellenstrahlungen,analisi matematica e dettagli di progettazione delle radiazioni a microonde alimentate a guida d'onda,analyse mathématique et détails de conception des radiations à micro-ondes alimentées par des guides d'ondes
3,"use of digital computers in the design of band pass filters having given phase and attenuation characteristics
","Verwendung von digitalen Computern bei der Auslegung von Bandpassfiltern, die Phasen- und Dämpfungseigenschaften aufweisen",utilizzo di computer digitali nella progettazione di filtri passabanda con caratteristiche di fase e attenuazione date,utilisation d'ordinateurs numériques dans la conception de filtres à bande passante ayant donné des caractéristiques de phase et d'atténuation
4,"systems of data coding for information transfer
",Systeme der Datenkodierung für die Informationsübertragung,sistemi di codifica dei dati per il trasferimento di informazioni,systèmes de codage des données pour le transfert d'informations
5,"use of programs in engineering testing of computers
",Einsatz von Programmen bei der technischen Prüfung von Computern,utilizzo di programmi per prove ingegneristiche di computer,utilisation de programmes dans les essais d'ingénierie d'ordinateurs
6,"number representation in binary machines
",Nummer-Darstellung in binären Maschinen,rappresentazione dei numeri nelle macchine binarie,représentation numérique dans les machines binaires
7,"secondary emission of electrons by positive ion bombardment of the cathode
",Sekundäre Emission von Elektronen durch positive Ionenbombardierung der Kathode,emissione secondaria di elettroni mediante bombardamento ionico positivo del catodo,émission secondaire d'électrons par bombardement ionique positif de la cathode
8,"measurement of plasma temperatures in arc discharge using shock wave techniques
",Messung der Plasmatemperaturen bei Lichtbogenentladung mittels Schockwellentechniken,misurazione delle temperature plasmatiche nella scarica ad arco mediante tecniche di onda d'urto,mesure des températures plasmatiques dans les décharges d'arc à l'aide de techniques d'onde de choc
9,"characteristics of the single electrode discharge in the rare gases at low pressures
",Eigenschaften der einzelnen Elektrodenentladung in den seltenen Gasen bei niedrigen Drücken,caratteristiche del singolo elettrodo scaricato nei gas rari a basse pressioni,caractéristiques de la décharge d'une seule électrode dans les gaz rares à basse pression
10,"methods of calculating instantaneous power dissipation in reactive circuits
",Methoden zur Berechnung der momentanen Leistungsableitung in reaktiven Schaltungen,metodi di calcolo della dissipazione istantanea della potenza nei circuiti reattivi,méthodes de calcul de la dissipation instantanée de puissance dans les circuits réactifs
11,"the effect of oxidation on circuit breaker contacts
",die Wirkung der Oxidation auf Leistungsschalterkontakte,l'effetto dell'ossidazione sui contatti dell'interruttore,l'effet de l'oxydation sur les contacts du disjoncteur
12,"temperature independent methods for tuning highly stable high frequency oscillators
",temperaturunabhängige Verfahren zur Abstimmung hochstabiler Hochfrequenz-Oszillatoren,metodi indipendenti dalla temperatura per la messa a punto di oscillatori ad alta frequenza altamente stabili,méthodes indépendantes de température pour régler les oscillateurs haute fréquence très stables
13,"mathematical expressions and graphs for the design of transistorised tuned pass band amplifiers
",mathematische Ausdrücke und Graphen für die Gestaltung von transistorisierten Tonbandverstärkern,Espressioni matematiche e grafici per la progettazione di amplificatori a banda graduata a transistorizzati,expressions mathématiques et graphiques pour la conception d'amplificateurs transistorisés à bande passante
14,"synthesis of filters having high attenuation characteristics using a block diagram approach
",Synthese von Filtern mit hohen Dämpfungseigenschaften mit einem Blockdiagramm-Ansatz,sintesi di filtri con caratteristiche di attenuazione elevate mediante un avvicinamento a un diagramma a blocchi,synthèse des filtres présentant des caractéristiques d'atténuation élevées à l'aide d'une approche par diagramme de blocs
15,"voltage current relationships in networks of nonlinear elements connected in parallel
","Spannungsstrombeziehungen in Netzen nichtlinearer Elemente, die parallel miteinander verbunden sind",rapporti di corrente di tensione in reti di elementi non lineari connessi in parallelo,relations de courant de tension dans les réseaux d'éléments non linéaires connectés en parallèle
