query_id,text,text_de,text_it,text_fr
1,"measurement of dielectric constant of liquids by the use of microwave techniques
",Messung der Dielektrizitätskonstante von Flüssigkeiten mittels Mikrowellentechnik,misura della costante dielettrica di liquidi mediante l'utilizzo di tecniche a microonde,mesure de la constante diélectrique de liquides par utilisation de techniques micro-ondes
2,"mathematical analysis and design details of waveguide fed microwave radiations
",mathematische Analyse und Designdetails von wellenleitergespeisten Mikrowellenstrahlungen,analisi matematica e dettagli di progettazione delle radiazioni a microonde alimentate in guida d'onda,analyse mathématique et détails de conception des rayonnements micro-ondes alimentés par un guide d'ondes
3,"use of digital computers in the design of band pass filters having given phase and attenuation characteristics
",Verwendung digitaler Computer beim Entwurf von Bandpassfiltern mit vorgegebenen Phasen- und Dämpfungseigenschaften,utilizzo di calcolatori digitali nella progettazione di filtri passa banda aventi determinate caratteristiche di fase e di attenuazione,utilisation d'ordinateurs numériques dans la conception de filtres passe-bande ayant des caractéristiques de phase et d'atténuation données
4,"systems of data coding for information transfer
",Systeme der Datenkodierung zur Informationsübertragung,sistemi di codifica dei dati per il trasferimento delle informazioni,systèmes de codage de données pour le transfert d'informations
5,"use of programs in engineering testing of computers
",Verwendung von Programmen beim technischen Testen von Computern,uso di programmi nei test ingegneristici dei computer,utilisation de programmes pour les tests techniques d'ordinateurs
6,"number representation in binary machines
",Zahlendarstellung in binären Maschinen,Rappresentazione dei numeri nelle macchine binarie,représentation des nombres dans les machines binaires
7,"secondary emission of electrons by positive ion bombardment of the cathode
",Sekundäre Emission von Elektronen durch positiven Ionenbeschuss der Kathode,emissione secondaria di elettroni mediante bombardamento di ioni positivi sul catodo,émission secondaire d'électrons par bombardement ionique positif de la cathode
8,"measurement of plasma temperatures in arc discharge using shock wave techniques
",Messung der Plasmatemperaturen bei Lichtbogenentladungen mittels Stoßwellentechnik,misurazione della temperatura del plasma nella scarica ad arco mediante tecniche di onde d'urto,mesure des températures du plasma lors d'une décharge d'arc à l'aide de techniques d'ondes de choc
9,"characteristics of the single electrode discharge in the rare gases at low pressures
",Eigenschaften der Einzelelektrodenentladung in Edelgasen bei niedrigen Drücken,caratteristiche della scarica monoelettrodica nei gas rari a basse pressioni,caractéristiques de la décharge d'une seule électrode dans les gaz rares à basse pression
10,"methods of calculating instantaneous power dissipation in reactive circuits
",Methoden zur Berechnung der momentanen Verlustleistung in Blindstromkreisen,metodi di calcolo della dissipazione di potenza istantanea nei circuiti reattivi,procédés de calcul de la dissipation de puissance instantanée dans des circuits réactifs
11,"the effect of oxidation on circuit breaker contacts
",die Auswirkung der Oxidation auf die Kontakte des Leistungsschalters,l'effetto dell'ossidazione sui contatti dell'interruttore,l'effet de l'oxydation sur les contacts du disjoncteur
